customer_id,name,country,signup_date
1,customer_1,NP,2021-04-26
2,customer_2,GB,2020-06-29
3,customer_3,BR,2022-07-24
4,customer_4,DE,2023-07-16
5,customer_5,DE,2020-10-15
6,customer_6,GB,2024-04-01
7,customer_7,NP,2023-05-17
8,customer_8,BR,2020-02-21
9,customer_9,US,2025-06-04
10,customer_10,NP,2019-04-20
11,customer_11,JP,2023-06-23
12,customer_12,AU,2022-01-03
13,customer_13,BR,2023-06-23
14,customer_14,GB,2024-04-19
15,customer_15,BR,2023-09-15
16,customer_16,GB,2023-06-15
17,customer_17,JP,2024-10-03
18,customer_18,US,2023-10-21
19,customer_19,GB,2024-07-27
20,customer_20,DE,2021-10-04
21,customer_21,JP,2020-05-22
22,customer_22,IN,2020-08-10
23,customer_23,US,2023-03-11
24,customer_24,AU,2022-08-22
25,customer_25,GB,2019-07-12
26,customer_26,BR,2020-05-25
27,customer_27,DE,2025-08-15
28,customer_28,GB,2023-12-21
29,customer_29,JP,2024-03-02
30,customer_30,DE,2020-05-07
31,customer_31,DE,2019-06-10
32,customer_32,US,2020-12-29
33,customer_33,NP,2024-11-12
34,customer_34,JP,2022-06-20
35,customer_35,AU,2024-05-15
36,customer_36,NP,2022-05-01
37,customer_37,GB,2022-05-10
38,customer_38,GB,2023-02-11
39,customer_39,IN,2025-07-25
40,customer_40,BR,2021-12-29
41,customer_41,US,2023-01-29
42,customer_42,GB,2025-04-17
43,customer_43,BR,2021-07-19
44,customer_44,IN,2024-09-30
45,customer_45,NP,2022-08-30
46,customer_46,AU,2025-01-06
47,customer_47,DE,2022-03-15
48,customer_48,AU,2023-04-23
49,customer_49,BR,2021-03-19
50,customer_50,GB,2023-05-07
51,customer_51,GB,2021-03-26
52,customer_52,US,2023-03-03
53,customer_53,IN,2024-05-25
54,customer_54,DE,2021-12-23
55,customer_55,DE,2021-12-09
56,customer_56,NP,2021-03-16
57,customer_57,JP,2024-01-01
58,customer_58,US,2023-01-20
59,customer_59,BR,2022-07-15
60,customer_60,BR,2019-03-05
61,customer_61,AU,2019-10-03
62,customer_62,BR,2019-01-19
63,customer_63,IN,2024-10-26
64,customer_64,AU,2024-10-30
65,customer_65,DE,2019-06-19
66,customer_66,IN,2019-04-27
67,customer_67,AU,2024-05-07
68,customer_68,IN,2022-08-04
69,customer_69,NP,2021-02-11
70,customer_70,DE,2023-03-18
71,customer_71,GB,2020-08-14
72,customer_72,US,2020-05-10
73,customer_73,DE,2021-07-07
74,customer_74,US,2025-02-17
75,customer_75,BR,2024-04-01
76,customer_76,DE,2020-04-20
77,customer_77,IN,2022-11-05
78,customer_78,US,2025-01-20
79,customer_79,JP,2025-07-07
80,customer_80,BR,2024-03-22
81,customer_81,AU,2019-11-19
82,customer_82,DE,2020-08-24
83,customer_83,US,2020-06-30
84,customer_84,GB,2020-01-12
85,customer_85,BR,2020-03-14
86,customer_86,BR,2021-03-01
87,customer_87,NP,2022-10-20
88,customer_88,IN,2021-09-21
89,customer_89,GB,2021-11-18
90,customer_90,GB,2020-09-06
91,customer_91,DE,2020-01-13
92,customer_92,GB,2025-11-02
93,customer_93,GB,2023-02-06
94,customer_94,DE,2020-07-28
95,customer_95,AU,2024-07-17
96,customer_96,IN,2024-09-07
97,customer_97,US,2025-08-13
98,customer_98,BR,2020-02-02
99,customer_99,BR,2023-05-19
100,customer_100,US,2025-09-16
101,customer_101,GB,2024-07-09
102,customer_102,US,2020-07-17
103,customer_103,GB,2025-02-10
104,customer_104,NP,2021-11-20
105,customer_105,GB,2022-05-07
106,customer_106,GB,2022-10-28
107,customer_107,GB,2024-04-12
108,customer_108,BR,2019-10-28
109,customer_109,DE,2022-09-10
110,customer_110,BR,2024-08-04
111,customer_111,IN,2022-10-03
112,customer_112,GB,2020-11-17
113,customer_113,JP,2019-05-21
114,customer_114,DE,2022-10-05
115,customer_115,JP,2023-10-25
116,customer_116,JP,2022-10-06
117,customer_117,NP,2025-09-14
118,customer_118,US,2023-02-15
119,customer_119,US,2022-06-24
120,customer_120,NP,2019-05-19
121,customer_121,DE,2022-10-28
122,customer_122,BR,2020-02-26
123,customer_123,BR,2023-12-17
124,customer_124,DE,2020-02-07
125,customer_125,GB,2025-03-16
126,customer_126,JP,2021-01-25
127,customer_127,NP,2021-12-20
128,customer_128,GB,2019-12-29
129,customer_129,JP,2020-06-10
130,customer_130,BR,2025-04-23
131,customer_131,JP,2020-12-10
132,customer_132,JP,2022-07-06
133,customer_133,NP,2025-09-19
134,customer_134,JP,2023-04-08
135,customer_135,GB,2019-04-15
136,customer_136,IN,2021-06-12
137,customer_137,JP,2021-08-25
138,customer_138,NP,2020-11-21
139,customer_139,IN,2020-08-25
140,customer_140,DE,2022-06-11
141,customer_141,AU,2021-07-31
142,customer_142,US,2021-01-05
143,customer_143,IN,2021-10-29
144,customer_144,DE,2021-05-09
145,customer_145,AU,2020-07-25
146,customer_146,GB,2022-02-05
147,customer_147,NP,2025-06-13
148,customer_148,US,2022-06-18
149,customer_149,GB,2023-02-02
150,customer_150,NP,2025-09-26
151,customer_151,GB,2023-03-15
152,customer_152,IN,2020-07-12
153,customer_153,AU,2021-09-23
154,customer_154,IN,2022-05-04
155,customer_155,DE,2022-04-01
156,customer_156,BR,2020-01-09
157,customer_157,US,2019-09-22
158,customer_158,JP,2021-05-24
159,customer_159,JP,2025-04-04
160,customer_160,GB,2023-11-29
161,customer_161,AU,2024-10-05
162,customer_162,BR,2020-03-12
163,customer_163,DE,2021-11-01
164,customer_164,DE,2022-12-24
165,customer_165,DE,2021-12-21
166,customer_166,GB,2021-11-07
167,customer_167,IN,2021-06-18
168,customer_168,US,2019-05-09
169,customer_169,IN,2024-11-13
170,customer_170,NP,2025-05-21
171,customer_171,NP,2019-07-22
172,customer_172,NP,2021-10-31
